bejaarde
emotionele
verdrietige
zenuwachtige
gehandicapte
eenarmige
eenkennige
dove
blinde
domme
verwarde
demente
briljante
rijke
arme
dyslectische
vervelende
saaie
boze
agressieve
onhandige
dorstige
hongerige
zieke
hulpbehoevende
verwaande
beroemde
schuwe
verliefde
vermoeide
