apparaat
machine
oplossing
idee
ontwerp
robot
huis
hut
caravan
vervoersmiddel
auto
fiets
boot
vliegtuig
koffer
tafel
stoel
bed
jas
broek
schoen
lamp
tent
rugzak
pet
hoed
sport
slaapkamer
tuin
